NO_MUNICIPIO_ESC,nota
CURRALINHO,467.67250000000007
CANDIDO MENDES,463.84040816326524
DESTERRO,485.59235294117644
DIADEMA,539.8241126279862
DIAMANTE,503.8623529411766
DIAS D'AVILA,527.4173033707864
DIONISIO,547.9963636363636
DIVINOPOLIS,602.0999434229138
DOMINGOS MARTINS,584.3914925373133
DOURADOS,557.849326829268
DUQUE DE CAXIAS,538.9993999999999
ECOPORANGA,494.21639999999985
EMBU DAS ARTES,531.1199999999997
ENGENHEIRO COELHO,569.7011363636361
ENTRE-IJUIS,542.13
ERECHIM,577.0753099730457
ESMERALDA,510.5175000000001
ESPERANCA,536.9900584795319
ESTIVA GERBI,518.525
EXTREMOZ,519.8744099378882
EXU,487.6694252873562
FAZENDA RIO GRANDE,522.8889305816136
FEIRA NOVA,482.40999999999997
FEIRA DE SANTANA,574.2533892969575
FELIZ,607.6576315789475
FERNANDOPOLIS,581.3264583333334
FERRAZ DE VASCONCELOS,539.4634125269982
FLORESTA,518.992
FLORIANO,532.9506804123712
FLORIANOPOLIS,607.0777873675947
FORMOSA,527.736206896552
FORTALEZA,537.3420518962077
FOZ DO IGUACU,558.7670380687089
FRANCA,579.0635982532748
FRANCISCO MORATO,520.5670777479895
FRANCO DA ROCHA,528.6419525065965
FREDERICO WESTPHALEN,583.2805952380952
GANDU,563.7150537634409
GARIBALDI,557.2816326530613
GIRAU DO PONCIANO,498.0493650793649
GLORIA DO GOITA,508.93333333333345
GODOFREDO VIANA,476.3576470588235
GOIANIRA,508.5896644295302
GOIANESIA,524.7753745928342
GOIANIA,589.5282920761288
GRANJA,455.1475414364637
GRAVATAI,559.275243243243
GRAVATA,525.8225368731562
GUAJARA-MIRIM,481.2893896713613
GUAMIRANGA,519.08
GUANHAES,591.6523076923079
GUARABIRA,551.4386064030134
GUARAPARI,554.345668449198
GUARAPUAVA,554.1242931937172
GUARATUBA,517.8323529411763
GUARAI,526.4933980582524
GUARUJA,533.3465667574931
GUARULHOS,554.9971845882646
GUATAPARA,506.9563636363637
GUAIBA,543.8232764505119
HORIZONTE,477.78044534412965
HORTOLANDIA,560.7776136363631
HUMAITA,491.86414141414144
IACU,479.04771929824574
IBAITI,534.4082352941176
IBARAMA,598.811111111111
IBATEGUARA,515.7419047619047
IBATIBA,612.0141176470584
IBEMA,604.8413333333334
IBIAPINA,447.24482269503545
IBIMIRIM,495.61857142857144
IBIRAPITANGA,541.9399999999999
IBITITA,420.58705882352945
IGREJINHA,553.745671641791
IGUATU,518.6461024498886
ILHA SOLTEIRA,553.0665151515153
ILHEUS,559.8678779472947
IMIGRANTE,520.0649999999999
IMPERATRIZ,546.8009992758869
INDAIAL,553.8949382716049
INDAIATUBA,583.3202347918888
INHAPI,462.85701492537305
IPANGUACU,564.055625
IPAPORANGA,467.13979381443306
IPATINGA,618.8622813688216
IPIAU,575.00765625
IPOJUCA,531.705089285714
IPORA,543.4719999999999
IPUEIRAS,479.96973544973554
IRANDUBA,406.88413793103445
IRECE,582.218252873563
ITABAIANA,564.3970731707316
ITABELA,506.7384615384616
ITABERAI,532.3983431952663
